ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,meanG,logStdG,meanC,logStdC
1,0,.12500000,.0000000,1,8,-4666.0694,.0000000,.0000000,-.69314718,-1.0000000
1,0,.22222222,.0000000,1,1,6224.8643,.23047926,-2.4231104,-1.1201113,-2.3066991
1,0,.21428571,.0000000,2,5,460169.76,-.57364603,-2.5350630,-2.2752336,-2.7084143
1,0,.26666667,.0000000,3,1,527331.86,.17160348,-2.1174531,-2.0687085,-3.3302690
1,0,.31250000,.87409717,4,1,Inf,-.60855212,-2.4937713,-4.7044160,-4.0678976
1,0,.28571429,.0000000,6,5,Inf,-.20085717,-2.7122808,-4.8074247,-4.6126555
1,0,.31818182,.0000000,7,1,Inf,-.24046352,-2.6575454,-5.2305424,-4.7454013
1,0,.33333333,.0000000,8,2,Inf,.19594217,-2.7494703,-5.8963882,-5.6465292
1,0,.34615385,.0000000,9,2,Inf,.20231711,-3.1245028,-5.6090482,-5.7422383
1,0,.37037037,.0000000,10,1,Inf,.21128110,-1.9970873,-5.0842218,-4.9567197
1,0,.37931034,.0000000,11,2,Inf,-.60770088,-3.7083916,-6.1809417,-5.7187657
1,0,.40000000,.0000000,12,1,Inf,-.46613926,-4.9046363,-6.3197296,-6.5500299
1,0,.41935484,.0000000,13,1,Inf,-.52181990,-5.5263748,-6.5041400,-6.9311638
1,0,.42424242,.42449477,14,2,Inf,-.55896048,-3.4633393,-5.0983303,-4.9685950
1,0,.35714286,.0000000,15,9,Inf,-1.0204784,-3.3849214,-4.9556822,-4.8313118
1,0,.37209302,.0000000,16,1,Inf,-1.5330452,-4.8993901,-6.2356192,-5.6725025
1,0,.38636364,.0000000,17,1,Inf,-1.9251969,-6.0009563,-5.1867821,-5.1938439
1,0,.40000000,.0000000,18,1,Inf,-2.0332319,-7.1874502,-7.5837535,-7.0132713
1,0,.41304348,.0000000,19,1,Inf,-2.6548852,-9.9352986,-7.7344461,-7.6249736
1,0,.42553191,.0000000,20,1,Inf,-1.8663278,-7.3390694,-7.7465309,-6.9768974
1,0,.43750000,.39195620,21,1,Inf,-1.7575054,-4.6797891,-3.9974174,-3.5224331
1,0,.44897959,.0000000,22,1,Inf,-1.7484697,-5.5578879,-6.7937604,-5.5411537
1,0,.44230769,.0000000,23,3,Inf,-.71202896,-2.8601574,-3.6712544,-2.7432545
1,0,.45283019,.0000000,24,1,Inf,-.63826142,-3.7679509,-7.3219940,-5.6856845
1,0,.46296296,.0000000,25,1,Inf,-.65984097E-02,-4.6807012,-8.9690210,-7.5397605
1,0,.47272727,.0000000,26,1,Inf,-1.1360715,-7.5666233,-11.031012,-8.8688615
1,0,.48214286,.0000000,27,1,Inf,-1.9491918,-11.712719,-16.930678,-14.025124
1,0,.49122807,.0000000,28,1,Inf,-1.3864385,-7.6137576,-9.7034845,-8.0117108
1,0,.50000000,.0000000,29,1,Inf,-1.5470004,-10.334939,-11.623899,-10.521545
1,0,.50847458,.0000000,30,1,Inf,-.94254190,-9.4769867,-10.987216,-10.245980
1,0,.51666667,.0000000,31,1,Inf,-1.3910883,-12.167638,-13.868716,-12.993604
1,0,.52459016,.0000000,32,1,Inf,-1.8773092,-16.344407,-18.041841,-17.200015
1,0,.53225806,.0000000,33,1,Inf,-2.8776926,-18.523647,-20.572382,-18.833009
1,0,.53968254,.0000000,34,1,Inf,-3.7971198,-21.953355,-23.650210,-21.649276
1,0,.54687500,.49675940,35,1,Inf,-2.3587474,-18.047907,-20.121551,-19.037165
1,0,.55384615,.0000000,36,1,Inf,-1.2240126,-8.9075029,-12.073725,-11.212830
1,0,.56060606,.0000000,37,1,Inf,-1.0594223,-6.7443936,-9.7869745,-8.7446062
1,0,.56716418,.0000000,38,1,Inf,-.51465617,-4.3250104,-8.4772230,-6.7485132
1,0,.57352941,.0000000,39,1,Inf,-.76202093,-9.7645422,-16.487418,-14.566500
1,0,.57971014,.0000000,40,1,Inf,-1.8811837,-14.311260,-17.797921,-16.679322
1,0,.58571429,.0000000,41,1,Inf,-2.7793921,-23.893643,-23.801261,-23.297715
1,0,.59154930,.0000000,42,1,Inf,-2.4880123,-23.188389,-21.406506,-21.373168
1,0,.59722222,.0000000,43,1,Inf,-.41953442,-15.469082,-15.441074,-15.996146
1,0,.60273973,.0000000,44,1,Inf,-.99213740,-18.674798,-19.684070,-19.485428
1,0,.60810811,.0000000,45,1,Inf,-.23866669,-18.122109,-19.352494,-19.680610
1,0,.61333333,.0000000,46,1,Inf,-1.3264254,-19.873720,-21.802282,-21.013345
1,0,.61842105,.0000000,47,1,Inf,-1.2278005,-16.441015,-14.549952,-15.012806
1,0,.62337662,.0000000,48,1,Inf,.65324988,-10.762313,-8.3023759,-10.236899
1,0,.62820513,.0000000,49,1,Inf,.95233057,-11.767708,-8.0821008,-11.426003
1,0,.62500000,.41754975,50,2,Inf,1.8230290,-6.6984922,-2.5225465,-5.8844440
1,0,.61445783,.0000000,51,3,Inf,2.2915047,-6.9924446,-.11714803,-4.8999094
1,0,.61904762,.0000000,52,1,Inf,2.4060940,-8.6762599,-2.7065899,-7.1279393
1,0,.62352941,.0000000,53,1,Inf,1.8195107,-18.429456,-12.004191,-16.395002
1,0,.62790698,.0000000,54,1,Inf,.15420091,-21.759211,-10.658297,-16.812796
1,0,.63218391,.0000000,55,1,Inf,1.1929234,-17.686850,-5.5620515,-12.572339
1,0,.63636364,.0000000,56,1,Inf,1.1046383,-13.937473,-3.1440280,-8.4710556
1,0,.64044944,.0000000,57,1,Inf,.99749084,-14.598820,-4.4001562,-9.4147468
1,0,.64444444,.0000000,58,1,Inf,-.72150768,-22.292897,-11.287022,-15.995158
1,0,.64835165,.0000000,59,1,Inf,.54793422,-22.109578,-10.192160,-15.855107
1,0,.65217391,.0000000,60,1,Inf,2.1625792,-24.075684,-10.627643,-18.058445
1,0,.65591398,.0000000,61,1,Inf,.78291397,-30.105270,-15.347831,-22.593218
1,0,.65957447,.0000000,62,1,Inf,2.3562934,-26.196544,-11.887411,-19.258974
1,0,.66315789,.0000000,63,1,Inf,2.5648519,-22.995982,-10.348552,-17.809526
1,0,.66666667,.42533757,64,1,Inf,.74303412,-29.925776,-19.870546,-25.782554
1,0,.67010309,.0000000,65,1,Inf,.29945369,-35.639773,-26.472802,-32.111023
1,0,.67346939,.0000000,66,1,Inf,-.98371648,-29.304441,-23.682456,-26.675375
1,0,.67676768,.0000000,67,1,Inf,-1.5679531,-47.488939,-33.261398,-40.711086
1,0,.68000000,.0000000,68,1,Inf,-1.8313564,-38.557699,-23.447745,-31.076974
