ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Average,LogStandardDeviation,Cut
1,0,.33333333,.0000000,1,3,.11389764E-311,.0000000,.0000000,.70000000
1,0,.50000000,.0000000,1,1,.14821969E-322,.97246078,2.0721992,2.1409010
1,0,.60000000,.0000000,1,1,.14821969E-322,2.2376625,1.2533560,3.7242609
1,0,.66666667,.0000000,1,1,.14821969E-322,3.2297232,1.8568481,5.0730353
1,0,.71428571,.0000000,1,1,.14821969E-322,2.4225036,1.9216861,4.7442981
1,0,.75000000,.0000000,1,1,.14821969E-322,1.6160516,.80009232,5.1910475
1,0,.77777778,.0000000,1,1,.14821969E-322,2.4531676,-.14493579,6.0126023
1,0,.80000000,.0000000,1,1,.14821969E-322,4.3467280,2.3753287,5.8069902
1,0,.81818182,.0000000,1,1,.14821969E-322,6.0115521,3.1352536,7.3057567
1,0,.83333333,.62050857,1,1,.14821969E-322,6.5343081,3.2752838,6.7602902
1,0,.84615385,.0000000,1,1,.14821969E-322,7.1216204,4.5211157,6.4592428
1,0,.80000000,.0000000,1,2,.14821969E-322,7.2530618,5.4729389,1.0092749
1,0,.76470588,.0000000,1,2,.14821969E-322,5.7037073,3.8798105,1.5261289
1,0,.77777778,.0000000,1,1,.14821969E-322,8.3148588,4.3938107,2.6301885
1,0,.78947368,.0000000,1,1,.14821969E-322,16.072736,10.029128,8.4612994
1,0,.80000000,.0000000,1,1,.14821969E-322,15.058487,9.6438395,7.0636644
1,0,.80952381,.0000000,1,1,.14821969E-322,14.891447,9.6568423,6.9325869
1,0,.81818182,.0000000,1,1,.14821969E-322,14.461616,9.9928115,6.0278475
1,0,.82608696,.0000000,1,1,.14821969E-322,12.713866,9.4145054,3.4722884
1,0,.83333333,.51861302,1,1,.14821969E-322,12.880127,9.1102982,4.4822043
1,0,.84000000,.0000000,1,1,.14821969E-322,24.117018,14.759656,15.897297
1,0,.84615385,.0000000,1,1,.14821969E-322,18.175696,11.293732,12.138282
1,0,.85185185,.0000000,1,1,.14821969E-322,24.718396,15.658516,10.238093
1,0,.82758621,.0000000,1,2,.14821969E-322,23.883571,16.935907,10.344317
1,0,.83333333,.0000000,1,1,.14821969E-322,25.035588,16.915382,13.829681
