variable1,variable2
0.5717,0.108
5.9442,3.1569
0.87479,1.4602
10.329,5.4529
2.2114,0.96948
1.08,0.3822
1.3508,1.3062
0.12309,0.19028
3.3294,6.2136
1.8644,1.442
0.36397,0.10435
0.62906,1.6663
1.9065,0.27946
0.38734,0.52181
0.84755,0.87062
0.4259,0.58733
0.18102,0.26831
0.9994,0.73286
1.4487,0.94198
0.19138,0.93321
0.24811,0.076071
0.14541,0.13443
5.2131,2.0366
0.1304,0.31682
0.38562,0.2304
1.8777,1.2618
0.34476,0.27732
2.0001,2.5899
2.3528,1.21
2.5589,2.2846
1.211,1.0753
0.98149,0.50917
2.4987,0.89581
0.2387,0.56149
0.2399,0.35142
0.60439,0.52793
4.6788,0.83147
5.9548,13.152
2.3566,0.69107
0.47189,1.0823
2.4697,3.4284
2.6997,0.40281
0.46457,0.77308
1.4547,1.6521
2.6674,0.67126
0.30467,0.41219
1.818,1.8199
2.0234,1.0518
0.72088,0.7527
0.21043,0.39039
1.9121,0.73117
0.49739,1.4766
0.34898,0.16211
4.2878,12.282
0.49229,0.3629
1.2909,3.4349
2.195,2.1946
0.82751,0.74995
0.81689,2.4912
3.8778,5.3396
1.6217,3.6649
0.37536,0.45472
5.0925,2.4774
2.2348,1.6903
0.56467,2.017
0.16815,0.22079
0.79922,1.522
2.8811,1.1366
0.20482,0.16636
3.9105,6.516
1.0069,0.55769
1.6236,2.559
0.62635,2.4613
1.7043,2.0531
0.36662,1.4506
6.3185,1.3624
1.8451,2.5164
1.5597,2.7575
0.95444,0.28241
3.3155,2.9327
1.426,0.86407
1.0478,1.4868
2.0871,0.45076
0.40288,1.0385
0.08181,0.045671
5.4261,1.1
1.826,1.2721
0.15532,0.41864
0.91908,0.55649
2.1614,0.38659
1.2133,0.39144
4.0057,2.3457
0.090306,0.20786
1.6183,1.8706
0.86734,1.0121
2.8906,6.9601
1.7924,0.90425
0.36067,1.1217
0.99959,0.32859
1.2102,0.19814
0.9019,0.35555
0.92839,1.3728
0.65281,0.84306
0.60283,0.75225
2.1785,4.4253
2.07,1.1156
1.5579,1.2392
0.71204,1.7741
1.7079,1.5597
0.072343,0.16397
0.75846,0.83893
0.19317,0.11704
10.692,8.974
0.35085,0.46468
0.50305,1.4171
1.1102,2.2978
0.58573,0.098661
0.36615,0.77479
1.7004,1.3184
1.2371,0.66119
0.10899,0.32964
1.0962,1.3649
1.9125,2.235
5.2289,1.3037
0.344,1.4408
1.0249,0.60233
0.53638,0.36954
3.6968,1.818
1.9203,1.0193
0.12481,0.32113
0.67268,0.30405
4.3713,3.0973
0.56872,0.65641
6.7886,10.587
4.5879,6.417
0.32798,1.4091
2.7746,1.6994
0.6516,4.1078
0.39087,0.16182
0.37827,0.49787
2.822,8.6909
0.50163,0.83495
2.1009,1.0317
1.0589,0.79951
0.36211,0.23777
1.1193,2.7787
0.61652,0.64467
2.2596,1.2768
0.23142,0.066413
0.80154,0.40648
3.4536,3.4839
4.3066,4.3798
0.359,0.40491
3.973,0.66603
1.7269,2.8784
0.37718,0.78095
0.35797,0.29462
0.38574,1.1117
0.40476,0.49548
1.2207,0.43323
6.194,13.368
4.0053,3.4087
1.6024,0.76721
0.44515,0.31716
0.20047,0.25491
0.61455,0.43234
0.77098,0.80839
6.1358,1.7209
0.47627,0.67786
2.5068,5.8502
0.80944,0.60683
0.64595,1.5148
0.4543,0.61614
4.0865,0.72853
0.17861,0.13879
0.15633,0.25753
1.4277,4.3594
1.1626,1.0961
0.19627,0.4373
2.0511,3.6968
0.41134,0.39645
3.4642,3.2941
0.5468,0.34584
0.19648,0.073422
0.80824,2.853
0.83901,0.81778
0.1974,0.15231
2.0489,0.68513
5.5366,3.2632
0.40616,0.84605
1.0713,0.12344
2.3852,5.5974
1.092,0.88353
0.11075,0.15989
0.28754,0.10615
2.4662,3.8159
1.6963,0.61365
0.086509,0.11997
0.33101,0.25028
1.5294,3.55
0.51404,0.44334
2.0627,0.69192
1.2308,1.8987
0.80414,0.65203
3.8708,2.9998
2.886,3.9417
2.2067,0.99717
2.2121,1.9736
1.312,1.2534
1.067,0.299
23.19,6.3374
2.1418,3.1237
0.44215,1.5751
1.3503,1.437
4.7724,0.84775
0.86679,0.36855
0.51556,0.99118
0.96614,0.58291
1.042,1.2159
1.6828,0.76491
0.4324,0.25168
0.29937,1.1538
0.46348,0.90741
1.5254,1.3798
5.9093,2.8297
0.60027,1.2111
1.1711,1.7428
0.17896,0.19425
1.5505,1.7131
1.8835,0.37577
2.4768,2.2294
2.3462,5.8423
0.63813,0.55343
0.96896,0.9239
0.75081,0.2262
0.84805,1.4102
0.32727,0.29416
3.6475,2.1527
10.425,5.0224
2.4023,1.8815
0.86053,0.24206
2.0155,4.4098
0.74913,1.5821
2.1562,1.9319
0.2797,0.41858
1.8662,1.0744
1.1048,0.28504
3.3827,2.6719
0.4588,0.10122
0.48329,0.34305
2.4449,1.2353
0.17073,0.082985
0.59962,0.25945
0.11919,0.083854
1.2932,0.62672
0.49899,0.27038
0.93451,1.0985
0.86773,0.73444
0.81299,1.1307
1.9898,0.43039
4.6445,0.80124
4.3048,2.8898
4.0613,5.6754
0.4762,0.31018
0.23289,0.60785
1.7897,0.8237
0.90397,0.32043
1.7837,2.6962
0.35866,0.78893
0.091588,0.20759
3.3412,1.8519
0.29168,0.86867
0.94434,1.2165
1.611,0.55568
0.19708,0.64765
0.18646,1.0436
0.34827,0.24014
0.60265,1.0903
1.0497,1.4701
4.5866,3.6921
0.22117,0.28546
5.9525,1.4747
0.36806,2.5623
0.74171,0.55242
4.7236,8.1271
0.28393,0.76033
0.52159,0.78881
0.92048,0.92785
0.39505,0.42866
1.4798,1.2173
10.229,5.1151
1.1709,0.55429
4.5247,1.4846
1.0316,1.0468
0.57769,0.16491
0.27392,0.16632
9.4264,5.0332
0.53311,0.29054
4.4044,2.3407
0.22112,0.18893
0.26118,0.10498
2.3766,1.0017
1.2664,1.0421
3.9732,3.2006
0.87638,0.31403
0.14192,1.0639
0.4284,0.21828
0.31202,0.30961
0.34892,1.3232
0.3321,1.1354
2.1285,2.2158
0.27543,0.79742
2.4824,4.5671
0.39793,2.265
0.85902,1.6343
3.2774,3.8443
4.4642,2.9747
0.43494,0.48605
1.1607,1.0566
0.61656,0.25888
0.37411,0.4193
0.30814,0.57835
0.16576,0.30338
1.2978,1.4858
4.4133,4.6982
1.0208,0.47944
0.51482,1.0201
0.71522,1.1396
2.3261,0.81902
2.6027,1.3177
1.2151,1.4618
3.3995,1.7772
1.6322,0.95251
0.17359,0.11903
4.0211,3.8983
1.6468,5.7495
1.7383,1.1538
0.56691,3.6229
1.0705,2.6179
3.7774,1.803
0.11904,0.046669
5.5958,1.4791
1.263,0.90677
4.3523,1.372
2.961,0.13335
0.40213,0.60936
2.3334,0.66242
1.8327,0.46919
3.4061,0.73446
2.1613,1.1033
0.076837,0.10897
0.75317,2.5
0.50503,0.22999
0.66675,1.59
0.27038,0.40628
1.1823,0.70873
2.2542,1.3114
3.2873,6.0236
1.7806,4.9269
0.10108,0.15733
0.1513,0.35373
0.18846,0.32264
0.21498,0.26932
4.629,4.8131
0.68962,0.11034
11.381,11.719
1.5228,2.4202
1.0419,0.40823
0.35445,0.31926
0.98335,0.7111
4.0105,1.9676
0.52026,0.74681
2.2948,1.138
0.55032,1.392
5.9802,4.0902
0.5491,0.9516
0.4022,2.4469
1.2633,0.8114
2.7856,1.8997
5.4025,1.4447
1.8378,2.458
1.6107,1.3925
0.64889,0.16903
2.6108,1.7285
4.305,14.968
0.27419,0.47375
0.26952,0.33355
1.2512,1.0136
0.81954,1.4843
0.69852,0.57773
0.71976,1.0776
1.7337,0.29603
2.5107,3.9066
1.5181,0.70312
0.86337,0.36806
0.15557,0.46278
2.4987,7.5748
1.678,1.7479
1.3768,1.0971
2.0524,1.0895
3.0286,0.84781
0.87521,0.26601
1.5701,2.7588
0.23817,0.18433
0.64006,1.4543
2.2221,0.95118
1.2998,5.0529
0.41156,1.0182
0.20053,0.36078
5.7483,7.6811
0.25192,0.61729
1.1327,0.50128
1.261,1.091
0.83326,0.87577
0.35391,0.96734
0.78422,2.3248
0.62705,1.1768
0.91837,5.0653
2.2329,1.0113
4.1199,2.3132
0.48934,1.0269
3.1119,5.4156
0.56716,0.83102
6.755,2.0508
14.282,1.8268
0.40804,0.3945
0.2339,0.45062
0.63554,1.1176
0.54947,5.2669
1.403,1.8628
0.6665,0.56526
0.45041,0.52694
2.8351,3.6717
1.404,2.7057
0.48722,1.2863
0.85435,0.8599
0.35075,0.82212
0.46969,2.114
0.22915,2.889
0.70462,1.0608
0.49462,0.3145
0.080271,0.17334
1.3821,1.6028
0.8088,1.284
2.8472,1.3564
2.1763,2.3447
0.68428,2.1323
0.14002,0.61715
1.1472,1.4213
1.1784,0.74217
0.41381,1.4827
0.94251,1.9954
0.63978,0.97843
0.206,0.22835
0.71026,0.2769
0.58211,0.60048
0.90349,2.0431
2.5667,3.3499
0.71355,1.4947
3.8193,3.7088
0.75261,0.10598
0.37124,0.45432
0.66798,0.56574
1.3569,1.6195
1.372,2.8116
1.8829,1.8786
0.45302,1.4299
6.1858,1.2507
5.0726,5.2599
0.9883,0.98131
0.51597,1.3805
1.5084,0.12452
1.6586,3.9724
1.8881,0.9899
0.32374,0.14323
1.3727,0.58866
2.5677,0.61057
0.22147,0.34724
2.334,1.2267
0.40751,0.31707
0.36406,2.9736
1.9068,0.42596
1.4708,5.7093
0.15792,0.30767
4.8396,1.2531
1.9786,2.1076
0.32317,0.21351
0.14379,0.58868
1.5516,2.96
2.4677,4.6441
0.63933,0.46574
1.4509,0.92858
2.1331,2.6379
7.6313,0.78352
0.72935,0.15644
10.391,5.162
2.8824,1.7517
0.98209,0.96758
0.63812,3.9038
0.63173,0.39799
1.9747,1.5459
1.1044,1.2395
0.74284,0.73461
1.9794,1.4106
1.7791,1.3821
4.6233,2.1039
2.5838,5.288
0.49727,1.4131
0.43206,0.43239
1.0637,1.4398
0.23164,0.26835
2.2256,2.2433
0.70604,0.69247
1.6849,0.67318
0.38028,0.31664
2.9095,2.7091
0.82529,1.1564
0.34913,0.12442
2.1758,0.27325
0.89358,1.1433
0.17824,0.41712
0.93068,4.7561
5.6553,5.4289
0.75336,0.65878
0.1912,1.4881
0.69092,0.42608
1.6788,0.88808
1.4987,0.88011
1.5207,2.4848
0.32851,0.38662
0.5249,0.19281
0.30945,0.25615
1.9188,1.2026
4.5632,3.2006
0.16233,0.98789
1.3733,0.63614
0.84936,3.6125
2.3354,2.0129
0.36784,0.18004
0.47465,0.089915
1.5133,1.3668
0.78112,0.51219
0.27537,0.091955
0.91567,0.90792
1.4971,1.9329
3.4377,2.5062
0.59656,0.14615
1.9113,0.54477
2.3154,4.5716
0.49815,0.8198
0.90703,1.0904
3.9733,2.6554
5.142,1.5245
0.46436,0.72094
4.4599,9.915
0.40444,0.53737
1.196,4.637
0.71367,2.264
2.3793,2.8652
3.572,2.0286
0.41365,1.3525
0.94487,0.81578
0.25955,0.19344
0.55734,1.0204
0.86156,0.24324
0.83846,0.73836
2.2514,0.58636
0.50115,0.41534
1.1936,0.71219
0.53382,1.9858
1.7354,4.8311
2.2656,1.7127
3.1197,1.6366
1.0935,1.7635
0.34757,0.55502
0.37871,0.73495
0.19352,0.51743
0.11841,0.78568
1.8635,1.6353
1.8123,13.814
2.0439,0.57505
0.98226,2.6139
5.3997,1.4654
1.3778,1.8179
0.52865,1.28
0.44074,0.75311
0.6229,0.40751
0.45121,0.44684
6.5031,11.449
0.31832,1.1497
2.0038,2.3784
0.56385,0.62659
0.73975,1.8313
2.4229,1.6162
1.1801,0.87791
0.41659,0.40476
19.776,2.4177
0.16951,1.1721
3.4256,1.5164
1.8334,0.9474
0.61283,2.2786
2.4203,2.7117
0.85605,0.83754
0.25192,0.60605
0.30583,0.86879
0.5866,0.18337
1.1473,2.1781
5.4867,1.1012
1.9685,0.31045
0.58215,2.5224
1.1273,0.35511
