ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,mean,logStd
1,0,.20124465E-01,1.0000000,1,68,-14934.452,.0000000,.0000000
1,0,.19938185E-01,.38439728,1,7,-14937.602,-.47802534E-01,-.10497658E-01
1,0,.31197465E-01,.67069597,1,5,-14937.350,-.30052673E-01,-.34005440E-01
1,0,.46377640E-01,.0000000,1,3,-14935.785,-.40338463E-01,-.32557948E-01
1,0,.53944197E-01,.0000000,1,1,-14936.168,-.28759406E-01,-.30067372E-01
1,0,.65074265E-01,.0000000,1,1,-14934.910,-.28581606E-01,-.25072931E-01
1,0,.75945495E-01,.0000000,1,1,-14934.019,-.28971192E-01,-.16411650E-01
1,0,.86566811E-01,.0000000,1,1,-14933.981,-.11325314E-01,-.75587692E-02
1,0,.91809801E-01,.10435994,1,1,-14934.583,-.53410715E-02,-.10534582E-01
1,0,.94410042E-01,.0000000,1,1,-14935.712,-.31346221E-02,-.14706054E-01
1,0,.99386624E-01,.0000000,1,1,-14936.324,.86486245E-02,-.84092109E-02
1,0,.99824137E-01,.0000000,1,1,-14938.296,.20738497E-01,-.54799856E-02
1,0,.10634228,.0000000,1,1,-14938.653,.14656010E-01,-.11216609E-01
1,0,.11497071,.0000000,1,3,-14936.246,.51518946E-02,-.10823705E-01
1,0,.12418977,.58321310E-01,1,1,-14935.875,.11496685E-01,-.38027862E-02
1,0,.13409118,.0000000,1,2,-14936.303,-.16044947E-02,-.15807093E-01
1,0,.13555445,.0000000,1,1,-14937.580,-.56586425E-02,-.22035058E-01
1,0,.14419891,.0000000,1,1,-14934.804,-.28668954E-02,-.10091265E-01
1,0,.15267219,.0000000,1,1,-14934.329,-.24871843E-02,-.48708364E-02
1,0,.15520970,.0000000,1,1,-14935.217,.76849409E-02,.73289673E-02
1,0,.16341155,.0000000,1,1,-14934.500,.11917571E-02,-.24621046E-02
1,0,.17145566,.46470870E-01,1,1,-14934.185,-.18899418E-01,-.60232064E-02
1,0,.17934656,.0000000,1,1,-14933.996,-.27069712E-01,-.16804316E-01
1,0,.18853586,.0000000,1,2,-14934.016,-.15296230E-01,-.63544227E-02
1,0,.19299323,.0000000,1,1,-14934.416,-.25731580E-01,-.80775165E-02
1,0,.19374050,.0000000,1,1,-14935.709,-.50756845E-01,-.21707496E-01
1,0,.19468190,.70060617E-01,1,4,-14935.931,-.54107820E-01,-.24609232E-01
1,0,.20174609,.0000000,1,1,-14934.504,-.24344592E-01,-.66564419E-02
