SampleLogFunc,mean,logStd
-14934.452,.0000000,.0000000
-14934.452,.0000000,.0000000
-14934.452,.0000000,.0000000
-14934.452,.0000000,.0000000
-14934.452,.0000000,.0000000
-14934.452,.0000000,.0000000
-14934.452,.0000000,.0000000
-14937.602,-.47802534E-01,-.10497658E-01
-14935.785,-.40338463E-01,-.32557948E-01
-14936.324,.86486245E-02,-.84092109E-02
-14937.580,-.56586425E-02,-.22035058E-01
-14934.416,-.25731580E-01,-.80775165E-02
-14934.097,-.14674219E-01,-.51105105E-02
-14934.047,-.17077286E-01,-.14006012E-01
-14934.013,-.25638651E-01,-.17112589E-01
-14934.749,-.29564524E-01,-.84896477E-02
-14934.354,-.21813799E-01,-.19104038E-01
-14935.202,-.43887717E-01,-.29842206E-01
-14936.667,-.16528107E-03,-.16019714E-01
-14935.163,-.58588660E-02,-.14216433E-01
-14935.077,.77023624E-02,.59718712E-02
-14934.802,.36500911E-02,-.38983586E-02
-14934.208,-.57954029E-02,-.69417445E-02
-14936.407,.23935896E-01,.99678512E-02
-14935.874,.17223507E-01,.10576803E-01
-14934.239,-.64595016E-02,-.81926420E-02
-14934.727,-.37795672E-01,-.26209007E-01
-14934.727,-.37795672E-01,-.26209007E-01
-14934.894,-.40644381E-01,-.27596073E-01
-14934.102,-.15803368E-01,-.13874373E-01
-14935.714,-.26014386E-01,-.27368463E-01
-14935.714,-.26014386E-01,-.27368463E-01
-14933.941,-.19061721E-01,-.13507136E-01
-14934.023,-.14243492E-01,-.11852476E-01
-14934.585,-.16129929E-01,-.17656356E-01
-14934.664,-.27935346E-01,-.79054967E-02
-14934.149,-.24388881E-01,-.18492403E-01
-14934.149,-.24388881E-01,-.18492403E-01
-14934.149,-.24388881E-01,-.18492403E-01
-14934.353,-.65537135E-02,-.51007181E-03
-14934.099,-.12473464E-01,-.44299409E-02
-14935.695,-.71244725E-02,-.17249685E-01
-14934.499,-.38587804E-01,-.18619379E-01
-14934.390,-.37784638E-01,-.21080865E-01
-14935.393,-.48210852E-01,-.21119416E-01
-14937.304,-.65997351E-01,-.34628986E-01
-14934.621,-.19371429E-01,-.19573289E-01
-14934.463,-.36433862E-01,-.16321900E-01
-14934.846,-.44611530E-01,-.23695313E-01
-14934.882,-.45941595E-02,.37580096E-02
-14935.379,-.81533257E-02,-.16661780E-01
-14934.525,-.38194339E-01,-.17640546E-01
-14934.071,-.16642826E-01,-.61317368E-02
-14934.170,-.28962329E-01,-.12542744E-01
-14935.502,-.16395592E-01,.20880546E-02
-14938.607,.19667099E-01,-.72705545E-02
-14935.278,-.14464935E-01,-.20014479E-01
-14935.337,.14208615E-02,-.97294954E-02
-14934.304,-.31003280E-01,-.21745883E-01
-14934.470,-.19438476E-01,-.42113800E-02
-14934.137,-.29485962E-01,-.13440553E-01
-14933.988,-.27099596E-01,-.16538878E-01
-14934.040,-.11904269E-01,-.10260530E-01
-14934.040,-.11904269E-01,-.10260530E-01
-14935.134,-.28141365E-02,-.11927986E-01
-14934.516,-.36250052E-01,-.15512516E-01
-14935.677,-.18357732E-01,-.23599467E-01
-14934.219,-.32656777E-01,-.20704233E-01
-14934.160,-.27975202E-01,-.11849781E-01
-14934.354,-.30192294E-01,-.11654530E-01
-14934.048,-.23361471E-01,-.17002148E-01
-14934.239,-.17310900E-01,-.48317150E-02
-14934.707,.16866480E-02,-.51326351E-02
-14934.034,-.92776608E-02,-.63116434E-02
-14934.865,-.38216274E-01,-.14436463E-01
-14935.215,-.39439165E-01,-.13305081E-01
-14933.952,-.23406157E-01,-.11489425E-01
-14934.313,-.33994894E-01,-.21976775E-01
-14934.528,-.66250024E-02,-.11129066E-01
-14935.647,-.52458800E-01,-.30808606E-01
-14935.382,.76756238E-03,.76933666E-02
-14938.021,.36621550E-01,.17718108E-01
-14934.230,-.94128633E-02,-.22411864E-02
-14934.230,-.94128633E-02,-.22411864E-02
-14936.277,-.16514179E-01,.46730986E-02
-14934.138,-.64385606E-02,-.39817780E-02
